no,talent,url,date,magazine,magazine_kana,year,month
2020年 3/18号,羽生 結弦,https://www.magazine-data.com/cover/anan.html,2020年3月11日,an・an,アンアン,2020,3
2020年 3/11号,King & Prince,https://www.magazine-data.com/cover/anan.html,2020年3月4日,an・an,アンアン,2020,3
2020年 特別号,King & Prince,https://www.magazine-data.com/cover/anan.html,2020年3月4日,an・an,アンアン,2020,3
2020年 3/4号,吉沢 亮・広瀬 すず,https://www.magazine-data.com/cover/anan.html,2020年2月26日,an・an,アンアン,2020,2
2020年 2/26号,竹内 涼真,https://www.magazine-data.com/cover/anan.html,2020年2月19日,an・an,アンアン,2020,2
2020年 2/19号,三代目 J SOUL BROTHERS,https://www.magazine-data.com/cover/anan.html,2020年2月12日,an・an,アンアン,2020,2
2020年 2/12号,SEVENTEEN,https://www.magazine-data.com/cover/anan.html,2020年2月5日,an・an,アンアン,2020,2
2020年 2/5号,Sexy Zone,https://www.magazine-data.com/cover/anan.html,2020年1月29日,an・an,アンアン,2020,1
2020年 1/29号,SixTONES・Snow Man,https://www.magazine-data.com/cover/anan.html,2020年1月22日,an・an,アンアン,2020,1
2020年 1/22号,山田 涼介・中島 裕翔,https://www.magazine-data.com/cover/anan.html,2020年1月15日,an・an,アンアン,2020,1
2020年 1/15号,Snow Man,https://www.magazine-data.com/cover/anan.html,2020年1月8日,an・an,アンアン,2020,1
2020年 1/1‐ 1/8 合併号,嵐,https://www.magazine-data.com/cover/anan.html,2019年12月25日,an・an,アンアン,2019,12
2019年 12/18号,SixTONES,https://www.magazine-data.com/cover/anan.html,2019年12月11日,an・an,アンアン,2019,12
2019年 12/11号,欅坂46,https://www.magazine-data.com/cover/anan.html,2019年12月4日,an・an,アンアン,2019,12
2019年 12/4号,関ジャニ,https://www.magazine-data.com/cover/anan.html,2019年11月27日,an・an,アンアン,2019,11
2019年 11/20号,岸 優太,https://www.magazine-data.com/cover/anan.html,2019年11月13日,an・an,アンアン,2019,11
2019年 11/13号,今市 隆二,https://www.magazine-data.com/cover/anan.html,2019年11月6日,an・an,アンアン,2019,11
2019年 11/6号,佐藤 勝利・髙橋 海人,https://www.magazine-data.com/cover/anan.html,2019年10月30日,an・an,アンアン,2019,10
2019年 10/30号,北山 宏光,https://www.magazine-data.com/cover/anan.html,2019年10月23日,an・an,アンアン,2019,10
2019年 10/23号,テミン,https://www.magazine-data.com/cover/anan.html,2019年10月16日,an・an,アンアン,2019,10
2019年 10/16号,木村 拓哉,https://www.magazine-data.com/cover/anan.html,2019年10月9日,an・an,アンアン,2019,10
2019年 10/2号,乃木坂46,https://www.magazine-data.com/cover/anan.html,2019年9月25日,an・an,アンアン,2019,9
2019年 9/25号,Perfume,https://www.magazine-data.com/cover/anan.html,2019年9月18日,an・an,アンアン,2019,9
2019年 9/18号,馬場 ふみか,https://www.magazine-data.com/cover/anan.html,2019年9月11日,an・an,アンアン,2019,9
2019年 9/11号,平野 紫耀,https://www.magazine-data.com/cover/anan.html,2019年9月4日,an・an,アンアン,2019,9
2019年 9/4号,中島 健人・菊池 風磨,https://www.magazine-data.com/cover/anan.html,2019年8月28日,an・an,アンアン,2019,8
2019年 8/28号,星野 源,https://www.magazine-data.com/cover/anan.html,2019年8月21日,an・an,アンアン,2019,8
2019年 8/21号,田中 圭,https://www.magazine-data.com/cover/anan.html,2019年8月7日,an・an,アンアン,2019,8
2019年 7/31号,山田 涼介,https://www.magazine-data.com/cover/anan.html,2019年7月24日,an・an,アンアン,2019,7
2019年 7/24号,白石 麻衣,https://www.magazine-data.com/cover/anan.html,2019年7月17日,an・an,アンアン,2019,7
2019年 7/17号,松本 潤,https://www.magazine-data.com/cover/anan.html,2019年7月10日,an・an,アンアン,2019,7
2019年 7/10号,BTS,https://www.magazine-data.com/cover/anan.html,2019年7月3日,an・an,アンアン,2019,7
2019年 7/3号,Snow Man,https://www.magazine-data.com/cover/anan.html,2019年6月26日,an・an,アンアン,2019,6
2019年 6/26号,King & Prince,https://www.magazine-data.com/cover/anan.html,2019年6月19日,an・an,アンアン,2019,6
2019年 6/12号,横浜 流星,https://www.magazine-data.com/cover/anan.html,2019年6月5日,an・an,アンアン,2019,6
2019年 6/5号,SEVENTEEN,https://www.magazine-data.com/cover/anan.html,2019年5月29日,an・an,アンアン,2019,5
2019年 5/29号,岡田 准一,https://www.magazine-data.com/cover/anan.html,2019年5月22日,an・an,アンアン,2019,5
2019年 5/22号,Hey! Say! JUMP,https://www.magazine-data.com/cover/anan.html,2019年5月15日,an・an,アンアン,2019,5
SPECIAL 開運レッスン,渡辺 直美,https://www.magazine-data.com/cover/anan.html,2019年5月11日,an・an,アンアン,2019,5
2019年 5/8号,宇垣 美里,https://www.magazine-data.com/cover/anan.html,2019年4月24日,an・an,アンアン,2019,4
2019年 4/24号,ジャニーズ WEST,https://www.magazine-data.com/cover/anan.html,2019年4月17日,an・an,アンアン,2019,4
2019年 4/17号,山下 智久,https://www.magazine-data.com/cover/anan.html,2019年4月10日,an・an,アンアン,2019,4
2019年 4/3号,SixTONES,https://www.magazine-data.com/cover/anan.html,2019年3月27日,an・an,アンアン,2019,3
2019年 3/27号,吉沢 亮,https://www.magazine-data.com/cover/anan.html,2019年3月20日,an・an,アンアン,2019,3
2019年 3/20号,King & Prince,https://www.magazine-data.com/cover/anan.html,2019年3月13日,an・an,アンアン,2019,3
2019年 3/13号,サザンオールスターズ,https://www.magazine-data.com/cover/anan.html,2019年3月6日,an・an,アンアン,2019,3
2019年 3/6号,増田 貴久,https://www.magazine-data.com/cover/anan.html,2019年2月27日,an・an,アンアン,2019,2
2021年 6月号,新川 優愛,https://www.magazine-data.com/page/20210420nonno.html,2021年4月20日,non-no,ノンノ,2021,4
2021年 6月号 特別版,佐藤 健,https://www.magazine-data.com/page/20210420nonnospecial.html,2021年4月20日,non-no,ノンノ,2021,4
2021年 5月号,新木 優子,https://www.magazine-data.com/page/20210319nonno.html,2021年3月19日,non-no,ノンノ,2021,3
2021年 5月号 特別版,Snow Man,https://www.magazine-data.com/page/20210319nonnospecial.html,2021年3月19日,non-no,ノンノ,2021,3
2021年 4月号,西野 七瀬,https://www.magazine-data.com/page/20210220nonno.html,2021年2月20日,non-no,ノンノ,2021,2
2021年 4月号 特別版,松村 北斗,https://www.magazine-data.com/page/20210220nonnospecial.html,2021年2月20日,non-no,ノンノ,2021,2
2021年 3月号,馬場 ふみか,https://www.magazine-data.com/page/20210120nonno.html,2021年1月20日,non-no,ノンノ,2021,1
2021年 3月号 特別版,なにわ男子,https://www.magazine-data.com/page/20210120nonnospecial.html,2021年1月20日,non-no,ノンノ,2021,1
